filename,vid/longvid,=/longvid,vid/=/longvid,total
abstype,81 86,77,84,4
abstype2,,43,48,2
absyn,805 872 912 1159 1161 1163 1221 1412 1414 1457 1459 1461 1585 2012 2047 2169 2352 2898 3469 3472 3475 3518 3567 3570 3573 3576 3579 3637 3640 3643 3646 3674 3677 3698 3744 3747 3749 3756 3825 3828 3839 3943 3959 3961 4061 4064 4066 4116 4119 4132 4135 4146 4286 4289 4301 4304 4316 4341 4344 4350 4360 4363 4378 4527 4571 4574 4576 4635 4638 4640 4648 4651 4662 4712 4715 4717 4720 4769 4785 4787 4916 4919 4952 4981 5104 5158 5161 5163 5173 5176 5179 5186 5234 5237 5239 5250 5253 5265 5385 5403 5406,,,101
all,,,,0
Array,308 375 541 589 689 694 730 753 761 807 810 876 886 947 957 975 981 1012 1070 1129 1178 1320 1325 1370 1387 1394 1432 1445 1449 1497 1514 1523 1609 1611 1624 1626 1841 1908 1926 1930 1932 1935 1937 2051 2053 2100 2149 2199 2217 2221 2223 2226 2355 2411 2470,,,55
ARRAY_SLICE-sig,,,,0
ARRAY-sig,,,,0
ArraySlice,224 268 281 358 399 412 492 560 563 608 621 639 642 644 646 755 758 1174 1180 1253 1255 1345 1359 1368 1441 1443 1585 1686 1688 1780 1886 1949 1963 1978 1990 1997 2070 2072 2259 2271 2275 2305 2320 2327 2357 2430 2502 2516 2521 2566 2582 2589 2627 2639 2643 2691 2707 2715 2760 2768 2812 2820 2867 2875 2987 2998 3006 3020 3028 3097 3121 3125 3127 3130 3132 3187 3191 3283 3287 3350 3397 3446 3505 3529 3533 3535 3538 3672 3739 3803,215,227,92
asterisk,,,,0
Bool,411 426 445 482 497 560 562 701 703 726 743 771 784 795 816 907 914 951 1029 1031 1138 1140 1142 1192 1197 1255 1260 1317 1372 1481,,,30
BOOL-sig,,,,0
Byte,,,,0
BYTE-sig,,,,0
